sample,float_qw,float_qx,float_qy,float_qz,vp_qw,vp_qx,vp_qy,vp_qz,q_l2_error,float_roll,float_pitch,float_yaw,vp_roll,vp_pitch,vp_yaw,err_roll,err_pitch,err_yaw
100,0.70860767,-0.41233727,-0.49509844,-0.28807667,0.70816267,-0.41181791,-0.49526268,-0.28734526,0.001015,-60.4307,-69.9227,0.0047,-60.3148,-69.7383,0.1567,0.1158,0.1844,0.1520
101,0.72030395,-0.38873929,-0.50577909,-0.27293199,0.71991009,-0.38813859,-0.50594199,-0.27210408,0.001108,-56.7524,-70.1911,0.0075,-56.6281,-70.0002,0.1635,0.1243,0.1909,0.1560
102,0.71307379,-0.39589331,-0.50608689,-0.28094822,0.71278960,-0.39516503,-0.50627553,-0.28000063,0.001243,-58.1208,-70.7703,0.0068,-57.9697,-70.5666,0.1667,0.1511,0.2037,0.1599
103,0.69332469,-0.42896041,-0.49262029,-0.30477247,0.69317722,-0.42809534,-0.49287602,-0.30372858,0.001388,-63.5339,-70.8324,0.0029,-63.3462,-70.6220,0.1600,0.1877,0.2104,0.1571
104,0.66875666,-0.48492712,-0.45644665,-0.33099350,0.66866106,-0.48402464,-0.45676786,-0.33000916,0.001377,-71.9341,-68.6728,-0.0034,-71.7303,-68.4833,0.1327,0.2037,0.1895,0.1361
105,0.68224978,-0.52647209,-0.40189642,-0.31014538,0.68197328,-0.52573961,-0.40210980,-0.30937949,0.001116,-75.3512,-61.0394,-0.0022,-75.1899,-60.8988,0.0984,0.1613,0.1406,0.1006
106,0.72239155,-0.52477157,-0.36471334,-0.26494029,0.72197372,-0.52409333,-0.36486316,-0.26424021,0.001071,-72.0328,-53.6101,0.0001,-71.8928,-53.4961,0.0864,0.1400,0.1140,0.0863
107,0.76191938,-0.51358229,-0.32777724,-0.22091842,0.76139116,-0.51293039,-0.32789135,-0.22026053,0.001072,-68.0073,-46.5854,0.0031,-67.8793,-46.4908,0.0801,0.1279,0.0946,0.0770
108,0.79263520,-0.50903511,-0.28315052,-0.18179801,0.79201645,-0.50839567,-0.28325430,-0.18118405,0.001086,-65.4607,-39.3424,0.0050,-65.3398,-39.2652,0.0747,0.1208,0.0772,0.0697
109,0.81358010,-0.51344234,-0.23185802,-0.14627138,0.81288195,-0.51281136,-0.23197398,-0.14570570,0.001104,-64.5548,-31.8349,0.0057,-64.4385,-31.7743,0.0698,0.1162,0.0607,0.0641
110,0.81355256,-0.52906364,-0.20277329,-0.13186966,0.81301033,-0.52850610,-0.20304736,-0.13136166,0.000969,-66.0896,-27.9998,-0.0004,-65.9974,-27.9701,0.0666,0.0922,0.0297,0.0670
111,0.80540222,-0.55245280,-0.17769405,-0.12189636,0.80487603,-0.55182588,-0.17804061,-0.12143704,0.001000,-68.9132,-24.8923,-0.0010,-68.8117,-24.8741,0.0639,0.1015,0.0182,0.0649
112,0.79203022,-0.57805753,-0.15924904,-0.11624515,0.79154968,-0.57734334,-0.15964860,-0.11581945,0.001040,-72.2666,-22.7464,-0.0018,-72.1528,-22.7353,0.0615,0.1138,0.0111,0.0633
113,0.80097765,-0.57293469,-0.14210564,-0.10166467,0.80047590,-0.57222331,-0.14254087,-0.10127255,0.001049,-71.1717,-20.1294,-0.0017,-71.0585,-20.1270,0.0609,0.1132,0.0024,0.0626
114,0.81466681,-0.55769539,-0.13216481,-0.09048995,0.81412065,-0.55702227,-0.13261327,-0.09011298,0.001046,-68.8088,-18.4376,-0.0014,-68.7008,-18.4403,0.0611,0.1080,0.0027,0.0625
115,0.82478338,-0.54728067,-0.11922783,-0.07911338,0.82425308,-0.54666901,-0.11969046,-0.07876867,0.000994,-67.1463,-16.4554,-0.0000,-67.0481,-16.4651,0.0604,0.0982,0.0097,0.0605
116,0.82758641,-0.54907137,-0.09822439,-0.06517058,0.82704568,-0.54846030,-0.09872727,-0.06486413,0.001006,-67.1403,-13.5412,-0.0002,-67.0413,-13.5595,0.0592,0.0990,0.0183,0.0595
117,0.82499778,-0.55859178,-0.07243404,-0.04904998,0.82445365,-0.55796838,-0.07299952,-0.04880068,0.001033,-68.2186,-10.0387,-0.0006,-68.1164,-10.0686,0.0579,0.1022,0.0299,0.0585
118,0.81871074,-0.57158041,-0.04733428,-0.03305711,0.81817442,-0.57093620,-0.04796474,-0.03286991,0.001065,-69.8589,-6.6207,-0.0010,-69.7520,-6.6625,0.0567,0.1069,0.0418,0.0577
119,0.80698913,-0.59000593,-0.02569298,-0.01880164,0.80647707,-0.58932483,-0.02638189,-0.01867777,0.001103,-72.3618,-3.6496,-0.0016,-72.2477,-3.7020,0.0556,0.1140,0.0524,0.0572
120,0.78818309,-0.61525697,-0.01759216,-0.01373534,0.78775942,-0.61454368,-0.01828936,-0.01365972,0.001086,-75.9664,-2.5581,-0.0003,-75.8484,-2.6138,0.0550,0.1181,0.0557,0.0552
121,0.77123743,-0.63614118,-0.02192153,-0.01808802,0.77086312,-0.63535994,-0.02259523,-0.01800963,0.001100,-79.0501,-3.2577,-0.0006,-78.9229,-3.3090,0.0543,0.1273,0.0513,0.0549
122,0.75766689,-0.65126854,-0.03473261,-0.02986604,0.75733203,-0.65042764,-0.03536537,-0.02975771,0.001110,-81.3803,-5.2518,-0.0009,-81.2456,-5.2946,0.0536,0.1347,0.0428,0.0546
123,0.74859554,-0.65932214,-0.05425396,-0.04780044,0.74828029,-0.65843785,-0.05484003,-0.04764345,0.001118,-82.7625,-8.2944,-0.0014,-82.6228,-8.3264,0.0531,0.1397,0.0319,0.0545
124,0.75005114,-0.65398490,-0.07565099,-0.06598381,0.74972081,-0.65308976,-0.07619025,-0.06576920,0.001117,-82.1917,-11.5246,-0.0019,-82.0511,-11.5457,0.0527,0.1406,0.0211,0.0546
125,0.75479430,-0.64379770,-0.09646550,-0.08228068,0.75447977,-0.64293784,-0.09694952,-0.08202130,0.001068,-80.9402,-14.5703,-0.0001,-80.8055,-14.5818,0.0532,0.1347,0.0115,0.0533
126,0.76632577,-0.62600690,-0.11261161,-0.09199299,0.76596904,-0.62516975,-0.11305344,-0.09168535,0.001057,-78.5070,-16.7245,-0.0001,-78.3750,-16.7280,0.0538,0.1320,0.0035,0.0539
127,0.79670674,-0.58092219,-0.13556027,-0.09884243,0.79628742,-0.58005720,-0.13596959,-0.09847030,0.001109,-72.2164,-19.3200,0.0002,-72.0788,-19.3160,0.0558,0.1376,0.0039,0.0556
128,0.81534982,-0.54098445,-0.17273434,-0.11460058,0.81488353,-0.54008025,-0.17310360,-0.11414739,0.001173,-67.1535,-23.9332,0.0009,-67.0089,-23.9172,0.0593,0.1447,0.0160,0.0584
129,0.78657764,-0.56373662,-0.20562385,-0.14736106,0.78613466,-0.56276524,-0.20598693,-0.14685693,0.001235,-71.2893,-29.3159,0.0009,-71.1310,-29.2853,0.0622,0.1584,0.0306,0.0613
130,0.76951224,-0.55945581,-0.24954218,-0.18142782,0.76913816,-0.55853242,-0.24991451,-0.18087633,0.001198,-72.0582,-35.9482,-0.0004,-71.9070,-35.9082,0.0660,0.1512,0.0400,0.0665
131,0.76558888,-0.53360945,-0.29526326,-0.20579889,0.76517344,-0.53265780,-0.29562044,-0.20517319,0.001264,-69.7812,-42.2010,-0.0003,-69.6196,-42.1424,0.0729,0.1616,0.0585,0.0732
132,0.75226372,-0.51447791,-0.34020892,-0.23267393,0.75183928,-0.51347733,-0.34055239,-0.23195532,0.001347,-68.7746,-48.7001,-0.0004,-68.5952,-48.6154,0.0820,0.1794,0.0846,0.0824
133,0.70805061,-0.54097021,-0.36112201,-0.27593613,0.70769161,-0.53988707,-0.36150032,-0.27515879,0.001432,-74.8099,-54.0893,-0.0040,-74.6005,-53.9760,0.0862,0.2094,0.1133,0.0902
134,0.66343391,-0.55749863,-0.38248822,-0.32148093,0.66317976,-0.55629820,-0.38293347,-0.32060671,0.001571,-80.1435,-59.9927,-0.0102,-79.8893,-59.8386,0.0927,0.2542,0.1541,0.1029
135,0.64982700,-0.55561161,-0.39441058,-0.33723155,0.64975619,-0.55447847,-0.39487773,-0.33636889,0.001500,-81.0938,-62.5405,-0.0008,-80.8525,-62.3955,0.0976,0.2413,0.1450,0.0984
136,0.64110166,-0.54664046,-0.41009361,-0.34967619,0.64113140,-0.54543650,-0.41057432,-0.34868437,0.001633,-80.9423,-65.2465,-0.0012,-80.6713,-65.0715,0.1064,0.2710,0.1750,0.1076
137,0.62529522,-0.54281133,-0.42359301,-0.36772931,0.62545824,-0.54151511,-0.42411685,-0.36659449,0.001808,-81.9650,-68.2728,-0.0026,-81.6516,-68.0588,0.1160,0.3133,0.2140,0.1186
138,0.54047960,-0.59240705,-0.40283045,-0.44162714,0.54084647,-0.59102976,-0.40352529,-0.44050354,0.001943,-95.3077,-73.4737,-0.0204,-94.8934,-73.1747,0.1003,0.4143,0.2990,0.1208
139,0.39583480,-0.68748331,-0.30382243,-0.52803600,-0.39600772,0.68641996,0.30425316,0.52739763,1.999580,-120.1732,-75.1408,-0.0632,-119.7856,-74.7977,-0.0036,0.3876,0.3431,0.0596
140,0.31271058,-0.73464078,-0.23586693,-0.55421603,-0.31242502,0.73390603,0.23564036,0.55404091,1.999494,-133.9156,-74.1155,-0.0133,-133.6363,-73.8358,-0.0660,0.2794,0.2797,0.0527
141,0.17778461,-0.79427195,-0.12684909,-0.56726426,-0.17714141,0.79355913,0.12615228,0.56718051,1.999539,-154.7684,-71.1252,-0.0347,-154.6446,-70.8873,-0.1277,0.1238,0.2379,0.0930
142,0.08936791,-0.83341998,-0.05800518,-0.54266971,-0.08873180,0.83261454,0.05726221,0.54252565,1.999581,-167.7435,-66.1931,-0.0438,-167.7101,-66.0065,-0.1308,0.0334,0.1866,0.0870
143,0.04234026,-0.86525458,-0.02421215,-0.49945870,-0.04183565,0.86437702,0.02358890,0.49929065,1.999624,-174.3766,-60.0393,-0.0453,-174.3779,-59.8969,-0.1142,0.0013,0.1424,0.0689
144,0.01392862,-0.89321399,-0.00675592,-0.45000207,-0.01354361,0.89228690,0.00625479,0.44984481,1.999665,-178.1923,-53.5219,-0.0450,-178.2073,-53.4128,-0.0985,0.0150,0.1091,0.0535
145,0.01123641,-0.90699780,-0.00521823,-0.42127904,-0.01074754,0.90619242,0.00443119,0.42124012,1.999518,-178.5810,-49.8461,-0.0001,-178.5959,-49.7777,-0.0909,0.0150,0.0685,0.0908
146,-0.02750229,-0.92704844,0.01111588,-0.37423688,0.02785356,0.92620969,-0.01182109,0.37416360,1.999565,176.6039,-43.9860,-0.0020,176.5831,-43.9290,-0.0839,0.0208,0.0570,0.0819
147,-0.06989428,-0.94148856,0.02448907,-0.32945177,0.06998500,0.94067132,-0.02506906,0.32925063,1.999609,171.5146,-38.5922,-0.0043,171.5048,-38.5313,-0.0790,0.0098,0.0609,0.0747
148,-0.06558477,-0.96007532,0.01862720,-0.27222577,0.06564335,0.95922792,-0.01916540,0.27206677,1.999657,172.1898,-31.6789,-0.0040,172.1795,-31.6322,-0.0706,0.0103,0.0467,0.0666
149,-0.07175785,-0.97448075,0.01575284,-0.21345283,0.07176752,0.97360611,-0.01625460,0.21333815,1.999704,171.5832,-24.7255,-0.0043,171.5718,-24.6925,-0.0649,0.0114,0.0331,0.0607
150,-0.07273091,-0.98115623,0.01329044,-0.17929001,0.07273819,0.98042697,-0.01381934,0.17923665,1.999562,171.5236,-20.7172,-0.0000,171.5150,-20.6995,-0.0627,0.0086,0.0177,0.0627
151,-0.07053723,-0.98676741,0.01048352,-0.14665943,0.07053044,0.98602879,-0.01100442,0.14663936,1.999578,171.8251,-16.9128,0.0000,171.8165,-16.9019,-0.0609,0.0086,0.0110,0.0609
152,-0.07137176,-0.99019617,0.00872752,-0.12108272,0.07135718,0.98945200,-0.00924480,0.12109313,1.999588,171.7574,-13.9478,-0.0000,171.7478,-13.9427,-0.0598,0.0096,0.0051,0.0598
153,-0.07152946,-0.99138838,0.00799905,-0.11086253,0.07151774,0.99064219,-0.00851688,0.11089306,1.999589,171.7491,-12.7654,-0.0000,171.7386,-12.7636,-0.0595,0.0106,0.0018,0.0595
154,-0.06989811,-0.99144101,0.00785696,-0.11144137,0.06989491,0.99069309,-0.00837633,0.11148237,1.999589,171.9371,-12.8308,-0.0000,171.9260,-12.8301,-0.0595,0.0111,0.0008,0.0595
155,-0.06825311,-0.99030083,0.00839124,-0.12175025,0.06826318,0.98958874,-0.00891244,0.12178814,1.999552,172.1166,-14.0214,-0.0000,172.1059,-14.0198,-0.0598,0.0107,0.0016,0.0598
156,-0.07074364,-0.98821795,0.00975783,-0.13630240,0.07076264,0.98750234,-0.01028132,0.13632728,1.999556,171.8128,-15.7103,-0.0000,171.8012,-15.7060,-0.0602,0.0116,0.0043,0.0602
157,-0.09582477,-0.98063976,0.01669497,-0.17082362,0.09584201,0.97990471,-0.01722112,0.17081043,1.999584,168.8415,-19.7692,-0.0003,168.8250,-19.7585,-0.0614,0.0165,0.0107,0.0611
158,-0.11082660,-0.97119981,0.02401010,-0.21035734,0.11085307,0.97044671,-0.02453992,0.21030389,1.999611,166.9848,-24.4513,-0.0007,166.9647,-24.4323,-0.0632,0.0202,0.0190,0.0625
159,-0.11763047,-0.96024507,0.03088278,-0.25203052,0.11768049,0.95947468,-0.03141981,0.25193584,1.999640,166.0384,-29.4252,-0.0011,166.0148,-29.3963,-0.0656,0.0236,0.0290,0.0645
160,-0.12531196,-0.95539016,0.03484331,-0.26564109,0.12538156,0.95467943,-0.03539836,0.26554629,1.999577,165.0595,-31.0853,-0.0001,165.0355,-31.0576,-0.0668,0.0240,0.0277,0.0667
161,-0.13988627,-0.95219260,0.03954707,-0.26917312,0.13995469,0.95147681,-0.04010564,0.26906982,1.999579,163.2900,-31.5790,-0.0004,163.2623,-31.5507,-0.0675,0.0277,0.0282,0.0671
162,-0.16266111,-0.94972134,0.04525266,-0.26417828,0.16271304,0.94899940,-0.04580885,0.26406819,1.999586,160.5684,-31.0986,-0.0008,160.5360,-31.0716,-0.0676,0.0323,0.0271,0.0668
163,-0.18110251,-0.94395542,0.05209788,-0.27149859,0.18115024,0.94322807,-0.05265632,0.27136952,1.999592,158.2862,-32.1025,-0.0012,158.2495,-32.0733,-0.0687,0.0368,0.0292,0.0675
164,-0.19370720,-0.93772250,0.05844728,-0.28287902,0.19375904,0.93699002,-0.05901018,0.28272909,1.999596,156.6651,-33.5846,-0.0016,156.6246,-33.5522,-0.0702,0.0405,0.0324,0.0686
165,-0.19687638,-0.93422568,0.06141742,-0.29143882,0.19694957,0.93350577,-0.06200132,0.29128227,1.999579,156.2065,-34.6612,-0.0000,156.1646,-34.6283,-0.0711,0.0418,0.0329,0.0711
166,-0.18796903,-0.94006979,0.05586648,-0.27940643,0.18804829,0.93934578,-0.05644828,0.27927524,1.999583,157.3920,-33.1153,0.0002,157.3511,-33.0863,-0.0694,0.0408,0.0290,0.0696
167,-0.17875238,-0.94713509,0.04949842,-0.26228890,0.17883211,0.94640696,-0.05007437,0.26218811,1.999590,158.6309,-30.9668,0.0004,158.5914,-30.9429,-0.0672,0.0395,0.0240,0.0676
168,-0.17498776,-0.95132685,0.04598444,-0.25001800,0.17507118,0.95059514,-0.04655880,0.24993917,1.999592,159.1611,-29.4584,0.0005,159.1215,-29.4382,-0.0660,0.0396,0.0202,0.0665
169,-0.18061729,-0.94871908,0.04861431,-0.25537124,0.18070903,0.94798326,-0.04919356,0.25528598,1.999593,158.4484,-30.1398,0.0004,158.4065,-30.1187,-0.0665,0.0419,0.0211,0.0670
170,-0.20112376,-0.93481922,0.06166529,-0.28660151,0.20122936,0.93407440,-0.06225243,0.28647521,1.999606,155.7242,-34.1005,-0.0005,155.6758,-34.0719,-0.0694,0.0485,0.0286,0.0689
171,-0.22273387,-0.91883266,0.07687482,-0.31708780,0.22285013,0.91806626,-0.07747257,0.31691489,1.999631,152.7586,-38.0935,-0.0013,152.7019,-38.0557,-0.0729,0.0567,0.0378,0.0716
172,-0.24253877,-0.90100199,0.09363846,-0.34778959,0.24266794,0.90021396,-0.09424719,0.34756812,1.999657,149.8823,-42.2325,-0.0025,149.8164,-42.1839,-0.0772,0.0659,0.0485,0.0747
173,-0.25445935,-0.88260847,0.10966443,-0.38028625,0.25459546,0.88180256,-0.11028329,0.38002110,1.999682,147.8541,-46.6437,-0.0039,147.7809,-46.5823,-0.0828,0.0732,0.0614,0.0789
174,-0.21665545,-0.90704018,0.08403120,-0.35173896,0.21673103,0.90623999,-0.08460373,0.35155886,1.999719,153.1484,-42.4149,-0.0021,153.0937,-42.3661,-0.0741,0.0548,0.0488,0.0720
175,-0.18552049,-0.92810994,0.06335606,-0.31699368,0.18557508,0.92739719,-0.06390861,0.31690589,1.999661,157.4003,-37.7283,0.0011,157.3641,-37.6991,-0.0665,0.0362,0.0292,0.0675
176,-0.16115184,-0.94615340,0.04723283,-0.27740371,0.16116364,0.94543815,-0.04774916,0.27736917,1.999700,160.6754,-32.6943,0.0020,160.6482,-32.6742,-0.0602,0.0273,0.0201,0.0622
177,-0.16053624,-0.93457979,0.05383302,-0.31350097,0.16054955,0.93385243,-0.05435225,0.31343973,1.999723,160.5150,-37.1043,0.0024,160.4882,-37.0754,-0.0624,0.0268,0.0289,0.0649
178,-0.16132347,-0.92863441,0.05726517,-0.32974595,0.16134745,0.92790544,-0.05778927,0.32966226,1.999728,160.2987,-39.1168,0.0026,160.2709,-39.0825,-0.0639,0.0278,0.0343,0.0665
179,-0.16592290,-0.92132550,0.06240432,-0.34661409,0.16595632,0.92059463,-0.06293416,0.34650448,1.999734,159.5918,-41.2539,0.0025,159.5618,-41.2137,-0.0659,0.0299,0.0403,0.0684
180,-0.17171100,-0.91285723,0.06854077,-0.36437103,0.17176205,0.91219753,-0.06906331,0.36426634,1.999661,158.7014,-43.5333,-0.0002,158.6732,-43.4949,-0.0683,0.0283,0.0383,0.0681
181,-0.17381930,-0.90425771,0.07368764,-0.38333103,0.17388767,0.90359437,-0.07422027,0.38319993,1.999669,158.2466,-45.9618,-0.0004,158.2160,-45.9165,-0.0711,0.0306,0.0453,0.0707
182,-0.17100371,-0.89603728,0.07687361,-0.40279478,0.17109773,0.89537024,-0.07742015,0.40264016,1.999677,158.3997,-48.4286,-0.0004,158.3672,-48.3757,-0.0740,0.0324,0.0529,0.0737
183,-0.16909258,-0.88738048,0.08035075,-0.42165878,0.16921775,0.88670814,-0.08091608,0.42148137,1.999684,158.4328,-50.8519,-0.0004,158.3975,-50.7911,-0.0774,0.0353,0.0608,0.0770
184,-0.16985974,-0.87803441,0.08505050,-0.43962234,0.17001994,0.87735510,-0.08563930,0.43942186,1.999691,158.1132,-53.2162,-0.0006,158.0736,-53.1472,-0.0814,0.0396,0.0690,0.0808
185,-0.17654109,-0.86835569,0.09239092,-0.45443201,0.17674039,0.86768878,-0.09301257,0.45421964,1.999670,157.0264,-55.2693,-0.0005,156.9828,-55.1971,-0.0858,0.0435,0.0721,0.0854
186,-0.23959573,-0.85102034,0.12674442,-0.45009750,0.23978004,0.85032344,-0.12735561,0.44982472,1.999700,148.5698,-55.7734,-0.0042,148.5037,-55.6969,-0.0885,0.0661,0.0765,0.0842
187,-0.30368802,-0.82733339,0.16300175,-0.44391397,0.30384773,0.82663304,-0.16355941,0.44354135,1.999731,139.7144,-56.4634,-0.0094,139.6256,-56.3757,-0.0900,0.0888,0.0877,0.0806
188,-0.34736735,-0.79195130,0.20193502,-0.46017072,0.34749880,0.79122031,-0.20245871,0.45975670,1.999768,132.6762,-60.3608,-0.0172,132.5632,-60.2554,-0.0982,0.1130,0.1054,0.0810
189,-0.36064607,-0.76136696,0.23090965,-0.48720396,0.36073250,0.76064038,-0.23138458,0.48675895,1.999803,129.3708,-65.2900,-0.0270,129.2393,-65.1530,-0.1123,0.1315,0.1370,0.0853
190,-0.39564940,-0.71764463,0.27684185,-0.50210130,0.39592150,0.71686411,-0.27753466,0.50152451,1.999750,122.3092,-70.0055,-0.0060,122.1547,-69.8533,-0.1304,0.1545,0.1522,0.1244
191,-0.48620665,-0.64647853,0.35363525,-0.47006831,0.48638406,0.64564800,-0.35416314,0.46943158,1.999790,106.1887,-72.1118,-0.0250,105.9707,-71.9329,-0.1266,0.2180,0.1790,0.1016
192,-0.58447486,-0.55755162,0.42692041,-0.40702832,0.58442211,0.55680543,-0.42712370,0.40649974,1.999833,87.4120,-72.3501,-0.0499,87.1587,-72.1615,-0.0968,0.2533,0.1887,0.0469
193,-0.67061144,-0.46260470,0.47780281,-0.32930815,0.67032492,0.46206328,-0.47768694,0.32903963,1.999876,69.3225,-71.0001,-0.0688,69.0811,-70.8190,-0.0554,0.2414,0.1811,0.0134
194,-0.73684824,-0.38231775,0.49546662,-0.25674286,0.73642147,0.38197529,-0.49516425,0.25673643,1.999919,54.9597,-67.8929,-0.0745,54.7619,-67.7338,-0.0225,0.1978,0.1591,0.0519
195,-0.76679075,-0.34410167,0.49461079,-0.22193885,0.76654649,0.34360823,-0.49452534,0.22162841,1.999802,48.3678,-65.6808,-0.0044,48.2263,-65.5690,-0.0096,0.1415,0.1118,0.0052
196,-0.79094613,-0.31105670,0.49063271,-0.19291309,0.79065073,0.31065729,-0.49047866,0.19271329,1.999816,42.9668,-63.6555,-0.0079,42.8438,-63.5509,-0.0005,0.1230,0.1046,0.0074
197,-0.81140494,-0.27984491,0.48539272,-0.16735092,0.81107438,0.27952817,-0.48518416,0.16724636,1.999828,38.0868,-61.8074,-0.0110,37.9798,-61.7077,0.0064,0.1070,0.0997,0.0174
198,-0.82405287,-0.25304341,0.48484272,-0.14881223,0.82371050,0.25279117,-0.48458320,0.14877516,1.999834,34.1691,-60.9722,-0.0135,34.0724,-60.8715,0.0116,0.0966,0.1006,0.0251
199,-0.82740963,-0.23872325,0.48872954,-0.14093128,0.82707721,0.23849800,-0.48842853,0.14091904,1.999836,32.2164,-61.1690,-0.0150,32.1220,-61.0632,0.0146,0.0944,0.1058,0.0296
